Back to Content
Table C1.
List of candidate stream member stars from the GDR2 catalogue, having passed all our 7 cuts. They are compatible with the best-fitting phase-space density model of the tidal stream of NGC 3201 and its H–R diagram from GDR2 after dust extinction correction.
N	source_id	π	δ	α	μδ	μα*	GBP − GRP	G	χsel
(mas)	(deg)	(deg)	(mas yr−1)	(mas yr−1)	(mag)	(mag)	(yr3 deg−2 pc−1 mas−3)
112	5413837204676171136	0.1280	−45.9449	152.7622	−2.3460	8.2183	1.0011	17.5443	1.7796E–02
113	5413720622081853824	0.2782	−46.3067	152.7667	−1.9144	8.6098	0.9940	17.6895	3.9211E–01
114	5413742951614948096	−0.5966	−46.0033	152.7743	−1.8458	8.8833	1.0139	19.5849	3.3428E–03
115	5413827996266328064	−0.0091	−45.8243	152.9341	−2.2238	8.5120	0.9132	17.3248	6.2819E–02
116	5413634654017870336	0.2101	−46.9412	152.9942	−2.0045	8.5502	1.2115	16.4645	1.9360E–01
117	5413835894705134208	−0.2688	−45.7065	153.0241	−1.8431	8.3532	0.9813	20.1126	5.5075E–03
118	5414389537468984064	0.1168	−44.3112	153.8987	−3.5476	8.3693	1.0589	18.4613	3.8191E–03
119	5414057892972812160	−0.0016	−45.2555	155.4083	−2.1204	7.7283	0.8449	17.6746	4.6860E–03
120	5365783216481459840	0.1342	−46.8392	155.8449	−1.4280	8.0469	1.1206	19.4101	1.7484E–02
121	5365391073082942336	0.2777	−47.3759	155.8568	−1.4592	8.4773	0.8594	17.7940	1.0584E–02
122	5365780398982621696	0.2621	−46.9529	155.8643	−1.3769	7.8673	1.0697	19.2203	2.2998E–02
123	5365399383845390976	−0.0230	−47.2051	155.9170	−1.2253	7.5164	0.9504	18.4153	1.0633E–02
124	5365789504313726080	0.0047	−46.7820	155.9225	−1.7586	6.9475	1.0258	19.1421	3.0141E–03
125	5365876365730787328	0.3279	−46.2400	155.9265	−2.0997	8.1445	0.9316	18.5095	5.3858E–02
126	5365792016874464640	0.0931	−46.6439	155.9438	−1.7115	8.1138	0.9518	17.1936	1.0490E–01
127	5365873445153019008	0.0975	−46.2453	155.9449	−1.3040	7.6397	1.3341	19.7425	5.1718E–03
128	5365865959033473152	0.2407	−46.3788	156.0361	−2.1501	8.4814	0.9965	19.1296	9.3859E–03
129	5365785965260649216	0.1707	−46.7892	156.0661	−1.4949	7.4019	0.9192	18.7294	1.9158E–02
130	5365819019327251840	0.5079	−46.3904	156.0674	−1.4804	7.4436	1.0385	19.3859	5.7243E–03
131	5365784178553932544	−0.1314	−46.9102	156.0887	−1.6961	7.5548	1.1499	19.4999	7.6562E–03
132	5365817163903821184	0.0751	−46.5291	156.1047	−1.6714	8.3504	0.9041	18.6001	1.5036E–02
133	5365825414540727296	0.1149	−46.3280	156.1078	−2.0940	7.8422	1.1164	19.7862	9.0039E–03
134	5365827476119277184	−0.0518	−46.2354	156.2146	−1.9832	7.0940	1.0906	19.5436	3.1556E–03
135	5365810261890643840	0.2137	−46.7570	156.2188	−2.0729	6.9264	0.7268	18.8097	2.9639E–03
136	5365921445707194624	0.2320	−46.1857	156.2351	−1.5871	7.4213	1.0728	19.0933	1.1313E–02
137	5365193706449182592	0.3000	−47.4672	156.2907	−1.2538	7.5130	0.8539	18.2828	2.5675E–02
138	5365768338714318080	0.7031	−47.0099	156.3480	−1.1768	8.0557	1.1333	19.4720	3.4492E–03
139	5365819775241396224	0.0269	−46.4617	156.3699	−2.0587	8.1793	0.9681	18.6001	1.4942E–02
140	5365190682792082048	0.1500	−47.5861	156.3725	−1.4167	8.1328	0.8341	18.3808	2.2653E–02
141	5365809437262578176	0.2534	−46.4901	156.4128	−1.7321	7.5130	1.0855	19.4212	8.7985E–03
142	5365578294999961344	0.4987	−47.1869	156.4923	−1.9379	7.6787	0.8898	18.8358	5.5409E–03
143	5365579016555060096	0.2704	−47.1131	156.5143	−1.9269	7.0518	1.0797	19.3789	4.2389E–03
144	5365576065920333440	0.1539	−47.1961	156.6824	−1.6095	7.6348	1.5148	12.9366	1.0524E + 01
145	5365898355962610688	0.3840	−46.5396	156.7343	−1.5688	7.0853	0.9684	18.9476	5.4961E–03
146	5365601629562571008	0.2543	−47.0240	156.8280	−0.9371	7.3243	1.1609	18.9579	5.2161E–03
147	5365736178000020864	0.3027	−46.1942	157.4884	−2.2346	7.7748	0.9663	17.0385	2.0367E–02
